[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":1,"quantity":4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":6,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":7,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":7,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":7,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":7,"warehouse_id":1,"quantity":10,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":7,"warehouse_id":7,"quantity":-6,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":7,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":1,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":8,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":9,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":226,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":193,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":228,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":347,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":347,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":347,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":347,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":347,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":347,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":1,"quantity":4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":7,"quantity":-4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":134,"warehouse_id":5,"quantity":0,"volume":0}
